release_type,release_name,album_title,artist_name,country,amount_paid_usd,genres,release_date,sale_date,sale_year,sale_month
album,DR Pleasure EP,DR Pleasure EP,Sally C & Eliza Rose,Switzerland,6.3,"['hip house', 'breakbeat', 'dance', 'beats', 'electronic', 'house', 'tech house']",2024-11-27,2024-04-12,2024,4
track,Izalco,HalloweenTrip 0.4,Carranza (RO),Switzerland,5.06,"['minimal deep tech', 'funky house', 'minimal', 'deep house', 'electronic', 'house', 'tech house', 'deep tech']",2024-11-25,2024-04-12,2024,4
track,Tunnel Vizionn (ZONDAX Remix),Kleine Gracht EP,DIT ZY,United States,1.05,"['electronic', 'techno']",2022-09-30,2024-04-12,2024,4
album,Henry Found the Time,Henry Found the Time,Alex Cornish,United Kingdom,25.33,"['singer-songwriter', 'acoustic', 'piano', 'acoustic guitar']",2024-08-10,2024-04-12,2024,4
track,1 Hour of Celtic Harp Improvisation,Relaxing Music Collection,Adrian von Ziegler,Switzerland,3.0,"['fantasy', 'folk', 'relaxing', 'soundtrack', 'celtic']",2022-11-11,2024-04-12,2024,4
album,Ethereal Blues,Ethereal Blues,(LUX),Sweden,4.2,"['ambient electronic', 'drone', 'ambient', 'cyberpunk', 'ambient rock']",2024-11-29,2024-04-12,2024,4
album,Falsified Kandiland,Falsified Kandiland,LOLISTYLE GABBERS,Japan,13.26,"['j-core', 'j-tek', 'hardcore', 'jaycore', 'hardtek', 'electronic']",2024-10-27,2024-04-12,2024,4
album,Layers,Layers,"Alex Humann, Faidel, Warmth, Zzzzra",Australia,1.05,"['ambient', 'dub', 'dub techno', 'electronic']",2016-11-28,2024-04-12,2024,4
album,ddbb,ddbb,noda yûki,Sweden,1.0,"['lofi.hiphop', 'folktronica', 'vaporwave', 'electronic', 'indie pop', 'library', 'lofibeats', 'chillout', 'new age', 'chill', 'soundtrack', 'ambient', 'computer music']",2020-06-30,2024-04-12,2024,4
track,6am Kimchi,LA V.A Vol.1,Bon Public,Switzerland,1.57,[],2024-10-04,2024-04-12,2024,4
album,The Tell 'em Steve-dave 2024 Christmas Special,The Tell 'em Steve-dave 2024 Christmas Special,Tell 'em Steve-dave,United States,5.0,"['tesd', 'alternative']",2024-11-28,2024-04-12,2024,4
album,Melodic Showdown,Melodic Showdown,Various Artists,Japan,21.0,"['j-core', 'happy hardcore', 'hardcore', 'construction', 'vocal', 'uk hardcore', 'vocals', 'hardtek', 'electronic', 'powerstomp']",2024-10-27,2024-04-12,2024,4
track,a piece of silence,"a pool, a portal",Tristan Arp,Japan,7.6,"['experimental', 'leftfield-bass', 'polyrhythmic', 'ambient', 'electronic']",2024-10-25,2024-04-12,2024,4
album,Subsurface EP,Subsurface EP,FVKS,Germany,5.25,"['hardgroove techno', 'suara', 'rave', 'fvks', 'raw', 'hardgroove', 'techno']",2024-11-29,2024-04-12,2024,4
album,Chasing Shadows,Chasing Shadows,SUNNATA,Hungary,7.35,"['stoner rock', 'progressive metal', 'doom', 'atmospheric metal', 'psychedelic', 'psychedelic metal', 'metal', 'stoner doom metal', 'stoner metal', 'sludge', 'doom metal']",2024-05-10,2024-04-12,2024,4
album,Now Here's My Plan,Now Here's My Plan,"Bonnie ""Prince"" Billy",United Kingdom,5.0,"['experimental', 'folk', 'singer-songwriter']",2012-07-24,2024-04-12,2024,4
album,Pre Zz,Pre Zz,5AM,Japan,9.0,"['electronic', 'alternative']",2021-08-31,2024-04-12,2024,4
album,ISS005 - ISS005,ISS005 - ISS005,Skee Mask,United Kingdom,9.19,"['hip hop', 'electronic', 'drum & bass', 'ambient', 'breakbeat', 'techno']",2020-06-22,2024-04-12,2024,4
track,STNLSS - On The Block,None,STNLSS,Philippines,1.05,"['tekno', 'rave', 'acid', 'hardtek', 'electronic', 'techno']",2023-04-11,2024-04-12,2024,4
album,Diamond Jubilee,Diamond Jubilee,Cindy Lee,United Kingdom,20.0,"['rock', 'hypnagogic pop', 'indie rock', 'psychedelic pop', 'lo-fi']",2024-10-23,2024-04-12,2024,4
track,TIPPIN w. BADKIDSGOODPEOPLE,MIDNIGHT SMOKE VOL.2,ODD 1 OUT,Japan,1.0,"['hip-hop', 'phonk', 'instrumental', 'hip-hop/rap', 'trap', 'rap']",2022-08-19,2024-04-12,2024,4
track,Eternal Freedom,Cloudeaters (Re-Issue),Merwyn & Inkswel,Japan,1.6,"['beats house boogie hip hop disco', 'experimental']",2024-10-07,2024-04-12,2024,4
track,Strophariaceae - Edge Runner(Mastered By CinderVomit) 155bpm,V.A Bucle Mental,Ponzoña Records,South Africa,0.59,['experimental'],2024-03-02,2024-04-12,2024,4
track,JAPANESE PIMPIN w/ DJ Snekmanez,None,CASSETTEMANE & DJ Snekmanez,Japan,1.5,"['trillwave', 'phonk', 'vaporwave', 'hip-hop/rap', 'trap']",2023-04-06,2024-04-12,2024,4
track,pipeline,in a weird cube,xav,Spain,1.6,[],2024-07-24,2024-04-12,2024,4
album,Stone Still Settling,Stone Still Settling,WIST,Slovenia,1.27,"['psychedelic', 'dark ambient', 'progressive', 'atmospheric black metal', 'death metal', 'psych', 'black metal', 'metal', 'progressive black metal', 'psychedelic rock', 'doom metal']",2022-03-03,2024-04-12,2024,4
album,Duets (with an inanimate object),Duets (with an inanimate object),Seren Stevenson,Poland,1.13,"['free improvisation', 'ehx', 'new music', 'ondes martenot', 'therevox', 'aleatoric', 'experimental', 'random', 'classical', 'randomness', 'electronic', 'improvisation']",2024-11-06,2024-04-12,2024,4
track,Hitam - Venusian Wind,Heimat II,Reclaim Your City,Germany,2.1,"['experimental', 'electronic', 'techno', 'electro']",2024-02-19,2024-04-12,2024,4
album,BEROSHIMA - The catastrophe Ballet / Muller 2053,BEROSHIMA - The catastrophe Ballet / Muller 2053,Frank Muller (Beroshima) & Ulrich Schnauss,United States,10.5,"['detroit techno', 'techhouse', 'electronic', 'electronica', 'house', 'techno']",2004-03-22,2024-04-12,2024,4
album,Here (GP023),Here (GP023),Fragile X,United Kingdom,3.8,"['ambient', 'soundscapes', 'electronic', 'electronica']",2024-10-16,2024-04-12,2024,4
